03-04 18:51:01: Training starting...
03-04 18:51:07: New best reward 2.7 (-100.0%) at episode 0, saving model...
03-04 18:51:22: New best reward 3.4 (+26.1%) at episode 3, saving model...
03-04 18:51:30: New best reward 3.5 (+2.6%) at episode 4, saving model...
03-04 18:51:37: New best reward 8.5 (+143.3%) at episode 5, saving model...
03-04 18:52:07: New best reward 10.0 (+17.2%) at episode 10, saving model...
03-04 18:54:14: New best reward 12.3 (+23.2%) at episode 27, saving model...
03-04 18:55:31: New best reward 16.1 (+31.2%) at episode 37, saving model...
03-04 19:07:44: New best reward 17.9 (+11.2%) at episode 133, saving model...
03-04 19:45:28: New best reward 22.0 (+22.8%) at episode 406, saving model...
03-04 20:46:43: New best reward 46.4 (+110.7%) at episode 830, saving model...
03-05 11:21:15: New best reward 47.0 (+1.3%) at episode 6271, saving model...
